Name,Unit,Carbohydrate,Protein,Fat,Sugars,Sodium,Cholesterol,Saturated fat,Trans fat
잡곡강정,1인분,29.12,5.45,2.43,0,9.54,0,0,0
잡곡밥,1인분,76.6,7.8,0.6,,4.3,0,0,0
잡채,1인분,28.4,4.8,4.2,0,825.2,9.6,0.3,0
잡채밥,1인분,86.4,14,13.6,0,640,19.3,3.9,0
잡탕밥,1인분,74.6,26.5,12.6,,633.7,278.5,2.7,0
잣,1인분,0.2,0.2,1.2,0,0,0,0,0
잣죽,1인분,37.3,5,11.6,,338.9,0,0,0
장어덮밥,1인분,75.1,33.9,20.9,8.4,1225,174,4,0
장어초밥,1인분,9,1.7,0.2,1.8,175,2,0,0
장어탕,1인분,10.4,36.5,25.7,2.1,1287,251,5,0
쟁반짜장,1인분,81.1,16,13.9,2,376,11,3.9,0
저지방 우유,1인분,12.1,8.2,2.3,12.6,107,12,1.5,0
전복죽,1인분,40.8,6.4,6.3,,364.1,34,0.8,0
전어구이,1인분,0.1,17,1.6,,783.9,21.7,1.5,0
전어찜,1인분,0.6,17.3,23,0,447.4,97.88,6.8,0.1
전어회,1인분,0,19,8.4,0,65,59,1.6,0
절편,1인분,43.8,4.4,0.8,0,185,0,0,0
제육덮밥,1인분,115.1,29.8,21.4,13.8,544,71,6.3,
제주 꿀 땅콩 라떼,1인분,0,6,0,23,140,0,3.3,
제주 영귤 그린 티,1인분,0,0,0,48,6,0,0,0
제주 유기 녹차,1인분,0,0,0,0,0,0,0,0
제주 호지 티 라떼,1인분,0,10,0,27,160,0,6,0
제주 호지 티 크림 프라푸치노,1인분,20,5,10,20,75,0,0,0
조개 구이,1인분,3.1,14.9,6.8,0,413,40,1.1,0
조개국,1인분,3.6,6.7,3.2,,553,17.2,0.2,0
조개살배추국,1인분,6.7,7.3,1.6,,822.2,12.9,0,0
조개탕,1인분,3,7.7,2.7,,929.7,21.2,0.4,0
조기구이,1인분,0,12.8,1.1,0,780.4,60.9,23,0
조기매운탕,1인분,9.8,18.7,4.1,,727.2,60.9,23.4,0
조기찜,1인분,5.9,15.1,3.2,0,811.7,60.9,23.2,0
조리퐁,1인분,22,2,3.9,11,45,0,1.8,0
족발,1인분,0.6,43,31.4,0,335,209,8.5,0
죠스바,1인분,0,0,16,0,0,0,0,0
주꾸미볶음,1인분,29.6,63.6,22.5,6.7,2204,192,3.5,0
주먹밥,1인분,37.9,5.3,3.4,0.4,148,5,0.5,0
주물럭,1인분,5.2,36.5,32.3,0.1,786,107,12,0
쥐치채,1인분,10.89,2.75,0.15,4.55,296.34,8.57,0.19,0.01
쥐포튀김,1인분,17.8,8.6,8.6,0,415.3,36.2,1.1,0
증편,1인분,37.8,3.9,0.9,0,243,0,0,0
진라면,1인분,77,12,16,3.5,1910,0,8,0
짜왕,1인분,92,10,22,8,1180,0,9,0
짜파게티,1인분,95,12,20,5,1180,0,9,
짬뽕,1인분,58.9,17.4,5,0,1366.1,84.8,0.9,0
짬뽕라면,1인분,104.9,41.5,35.7,4.2,3200,222,12,0
짬뽕밥,1인분,86.1,17.3,6.9,1.8,923,128,0.8,0
짬짜면,1인분,59.2,11.7,4.2,2.3,515,0,0.7,0
쫄면,1인분,110,19.2,5.3,0,443.9,118.8,1.1,0
찐빵,1인분,21.7,3,0.9,4.4,191,18,0.3,0
찜닭,1인분,31.6,27.8,15.3,7.5,627,94,3.4,0
차돌된장찌개,1인분,9,12,5.4,3,1213,11,1.1,0
차이 티,1인분,,0,,0,0,,0,
차이 티 라떼,1인분,33,6,5,31,70,0,0,
참외,1인분,7.5,2.2,0.4,,10,0,0,0
참치 샐러드,1인분,7,11,24,6,380,20,4,0
참치김밥,1인분,78.7,26.9,6.3,10.1,257,12,0,0
참치김치국,1인분,2.5,5.4,0.6,,828.1,3.6,0,0
참치김치찌개,1인분,5,10.4,1.2,,926.4,16.5,0,0
참치덮밥,1인분,102.93,29.2,16.73,2.98,1618.74,115.79,3.4,0.09
참치마요네즈 삼각김밥,1인분,32,4,3.5,4,347,0,0.5,0
참치볶음밥,1인분,69.6,19.6,7.5,,612.6,10.8,0.8,0
참치샐러드,1인분,7,11,24,6,380,20,4,0
참치죽,1인분,29,7,3,2,410,10,1.7,0
참치찌개,1인분,3.6,13.7,1.6,0,934,10.8,0,0
참치회,1인분,0,6.6,0.2,0,10,13,0,0
참치회초밥,1인분,,,,,,,,
찹쌀도우넛,1인분,39.95,3.53,3.68,12.13,242.99,1.16,1.95,0.04
찹쌀떡,1인분,50.4,4.8,1.4,0,161,0,0,0
찹쌀순대,1인분,11.9,6,6.9,,699.9,104.4,0,0
채끝 등심,1인분,0,19.9,14.2,0,51,51,5.7,0
채소 팬케익,1인분,38.66,14.06,7.64,0,274.2,0,0,0
채소고로케,1인분,31.19,7.12,16.38,3.37,403.33,41.9,3.59,0.15
채소튀김,1인분,37.63,3.61,17.3,2.87,278.99,1.87,3.2,0.22
천도복숭아,1인분,10,0.9,0.2,8.1,0,0,0,0
천연효모빵,1인분,15,24,5.4,15,1659,0,5.3,0
철판볶음밥,1인분,66,25,25,2,1423,91,3,0
청국장찌개,1인분,8.9,11.9,4.5,,1532.1,14.2,0.3,0
청포도,1인분,0.9,0,0,0.7,0,0,0,0
청포도 블랙 티 블렌디드,1인분,,1,,52,0.01,,0,
청하,1인분,0,0,0,0,0,0,0,0
체리 파이,1인분,59.7,3,16.5,21.4,369,0,3.8,0
초밥,1인분,7.7,1.1,0.1,1.6,155,1,0,0
초코 쉐이크,1인분,,6,,38,154,,4.4,
초코바나나쥬스,1인분,46.68,4.65,17.15,31.9,7,0,8.232,1.683
초코우유,1인분,22,5,3,21,90,10,2,0
초코칩쿠키,1인분,20,2,7,8,75,5,4.4,0
초코케이크,1인분,34.9,2.6,10.5,,214,27,3,0
초콜릿 바나나 블렌디드,1인분,,12,,60,0.05,,2,
초콜릿 크림 칩 프라푸치노,1인분,,11,,44,0.266,,7.5,
초콜릿 크림 프라푸치노,1인분,,10,,39,0.24,,5.5,
초콜릿 푸딩,1인분,25.9,3,4.5,20.1,146,3,0.8,0
초콜릿케이크,1인분,43.6,5.32,24.95,23.13,170,50.84,14.4,0.38
총각김치,1인분,4.3,1.2,0.3,,1729.5,0,0,0
추어탕,1인분,6.7,15.3,3.3,,956,131.2,0,0
춘천닭갈비덮밥,1인분,82,15,8,9,1010,20,1.5,0
충무김밥,1인분,115.7,9.7,0.9,14.4,440,0,0.2,0
취나물,1인분,5.3,3,1.5,,380.3,0,0.1,0
츄러스,1인분,11.9,0.7,7.3,6.5,37,2,2,0
치아바타,1인분,10,1.7,0.7,0.1,117,0,0.1,0
치즈김밥,1인분,91.7,15.8,11.4,11.9,457,34,6.9,0
치즈돈가스,1인분,25.4,57.8,41.5,2.4,1237,217,17.1,0
치즈떡볶이,1인분,58.9,15.8,15.2,5.7,470,46,8.3,0
치즈라면,1인분,81.1,14.6,24.6,3.6,1221,22,9.9,0
치즈라볶이,1인분,58.9,15.9,15.2,5.7,470,46,8.3,0
치즈버거,1인분,33,16,13,0,0,0,0,0
치즈불닭,1인분,22,21,15,0,344,0,0,0
치즈불닭김밥,1인분,37,11,5,3,450,20,2.2,0
치즈와퍼,1인분,0,33,16.2,0,0,0,16.2,
치즈케이크,1인분,20.4,4.4,18,0,166,44,7.9,0
치킨,1인분,8.5,19.1,14.8,0.2,260,73,3.7,0
치킨 너겟,1인분,2.6,2.4,3,0.1,92,9,0.6,0
치킨 쇠고기 땅콩소스 꼬치,1인분,8.28,14.32,6.33,0,536.21,0,0,0
치킨 수프,1인분,9.35,4.05,2.46,0.27,1106,7,0.651,0.554
치킨 텐더,1인분,5,4.9,5.3,0.1,194,16,1.2,0.4
치킨까스,1인분,25,39.5,33.2,2.2,564,163,8.5,0
치킨버거,1인분,5,17.3,4.3,0,652,0,4.3,
치킨케밥,1인분,,,,,,,,
칠리새우,1인분,17.18,10.7,6.85,0,158.17,0,0,0
칭따오 맥주,1인분,15.4,0,0,,0,0,0,0
카라멜 마키아또,1인분,27,1,0.6,24,75,0,0,0
카라멜 크림 프라푸치노,1인분,,10,,40,0.248,,6,
카라멜 프라푸치노,1인분,46,3.2,11.2,4,167,0,0,0
카라멜마끼아또,1인분,31.9,3.4,3.6,15,71,11,2,0
카라멜모카,1인분,48,2,4.2,,169,,,
카레,1인분,22,5,7,6,1000,10,7,0
카레돈까스,1인분,53.1,32.5,23.9,2.9,614,78,5.3,0
카레라이스,1인분,71.7,34.5,14.9,3.3,600,43,3.7,0
카레여왕구운마늘&양파카레,1인분,16,3,6,6,580,15,3.2,0.5
카레여왕비프카레,1인분,20,4,4.2,7,890,7,2.7,0
카레여왕스위트카레,1인분,26,4,10,0,750,25,6,0.9
카레여왕치킨카레,1인분,23,6,7,7,1140,14,3.1,0.5
카레여왕토마토&치킨카레,1인분,20,5,2.8,6,740,25,1.4,0
카스텔라,1인분,35,6,10,21,65,215,3,0.5
카페 라떼,1인분,,10,,13,0.115,,5,
카페 모카,1인분,19,3,4.2,18,100,15,0,0
카페 아메리카노,1인분,0,0,0,0,1,0,0,0
카페라떼,1인분,14,8.4,11.2,14,28,28,7,0
카페모카,1인분,33,10,15,25,,,,
카페프라푸치노,1인분,29,5,3.2,,110,15,,
카푸치노,1인분,5.8,3,3.9,6.4,50,12,2.2,0
카프라제,1인분,3.81,6.98,13.35,0,7.61,0,0,0
카프레제 샐러드,1인분,2,15,7,2,540,0,7,0
칼국수,1인분,48.5,13.7,4.8,,2618.9,27,0.1,0
캐모마일,1인분,0.3,0,0,0,2,0,0,0
캐모마일 블렌드 티,1인분,,0,,0,0,,0,
캐슈넛,1인분,30.1,18.2,43.8,5.9,12,0,7.7,
캘리포니아롤,1인분,6.3,1.3,0.1,1.3,58,4,0,0
커피 스타벅스 더블 샷,1인분,14,3,5,14,29,,5,
커피 우유,1인분,9.5,2.5,1.2,7,40,0,0,0
커피 프라푸치노,1인분,32,5,3.2,30,110,10,1.8,0
커피번,1인분,22,19,11,,,,,
케이준 치킨 샐러드,1인분,43,10,11,6,580,15,2.6,0
케일사과쥬스,1인분,,2,,26,20,,,
케첩완자,1인분,13.7,10.7,4.86,0,155.5,0,0,0
코다리찜,1인분,5.7,22.3,2.9,0.2,237,77,0.3,0
콘치즈,1인분,18,2,9,8,45,0,6,9
콜드 브루,1인분,0,0,0,0,11,0,0,0
콜드 브루 라떼,1인분,5,3,3,5,59,0,0,0
콜라,1인분,23,0,0,22,12,0,0,0
콜리플라워,1인분,5.3,1.9,0.1,2.4,30,0,0.1,0
콤비네이션피자,1인분,59.4,27,36.2,0,1550.3,53.6,0,0
콩국,1인분,4,8,3.8,4,175,0,0.8,0
콩국수,1인분,81.2,24.4,6.8,0,2652.7,0,0.4,0
콩나물,1인분,3.8,3.9,2.3,0,340.4,0,0.3,0
콩나물국,1인분,2.5,3.8,2.7,,533.2,14.8,0.4,0
콩나물국밥,1인분,90.3,10.5,4.3,3.1,1221,0,0.7,
콩나물김치국,1인분,1.7,1.9,1.8,0.5,107,4,0.4,0
콩나물된장국,1인분,5.2,5.6,1.4,,647.7,14.8,0.1,0
콩나물무침,1인분,5.9,2.3,1.1,1.9,401,0,0.1,0
콩나물밥,1인분,58.8,12,6.2,0,600.5,0,2.3,0
콩나물불고기,1인분,15,30.5,29,6.8,420,90,8.3,0
콩나물비빔밥,1인분,68.5,13.3,5.3,,813,12.8,0.4,0
콩나물해장국,1인분,73.7,8.5,1.9,0,5,0,0,0
콩밥,1인분,73.7,8.5,1.9,,5,0,0,0
콩비지찌개,1인분,15.9,10,7.8,,750.4,16.5,2.9,0
콩조림,1인분,17.9,5,0.4,4.1,65,0,0.1,0
쿼터파운더버거,1인분,,32,,8,1.037,,14,
퀘사디아,1인분,20.1,17.2,19.1,1,749,53,8.8,
퀴노아영양밥,1인분,74,9,10,0,210,0,0,0
크랜베리 쥬스,1인분,30.8,0.9,0.3,30.6,5,0,0,0
크로와상,1인분,26.1,4.6,11.9,6.4,424,38,6.6,0
크로와상 샌드위치,1인분,13.5,5.11,7.08,0,199.77,0,0,0
크로크무슈,1인분,33,15,15,,,35,9,0.4
크림빵,1인분,30.5,7.5,15.4,6.3,120,48.1,8.4,0.3
크림소스스파게티,1인분,73.76,21.79,50.59,9.17,1030.21,126.58,25.66,1
크림치즈베이글,1인분,44.6,10,7.5,44.6,444,19,4.1,0
클럽 샌드위치,1인분,49,31,24.4,5.4,1087,71,0,0
키위,1인분,11.1,0.8,0.4,6.8,2,0,0,0
키위바나나쥬스,1인분,41,3,0,41,140,0,0,0
키위스무디,1인분,46,1,0,,,,,
키위쥬스,1인분,24,0,0,14,35,0,0,0
킹 크랩,1인분,0,18.29,0.6,,836,42,0.09,0.13
타코 와사비,1인분,41.11,31.77,31.61,,1233,87,17.484,1.475
탄산수,1인분,0,0,0,0,0,0,0,0
탄탄멘,1인분,85,12,18,4,1850,0,7,0
탕국,1인분,12.3,15.5,4.5,1.3,744,46,1.2,0
탕수육,1인분,26.7,12.5,20.8,0,433.2,80.5,7.4,0
탕평채,1인분,3.9,3.7,2.1,0,828.5,4.9,0.1,0
토란국,1인분,9.4,6.1,1.7,0,618.3,10.2,0,0
토마토 달걀볶음,1인분,8.05,11.29,9.31,4.97,486,335,2.714,1.527
토마토 수프,1인분,17.9,3,2.9,10.5,705,5,0.9,0
토마토 야채 오븐구이,1인분,17.58,3.14,2.9,0,67.19,0,0,0
토마토소스달걀볶음,1인분,10.08,4.39,5.9,0,107.4,0,0,0
토마토소스스파게티,1인분,93.21,24.35,19.15,15.6,1508.64,49.17,5.43,0.21
토마토쇠고기,1인분,11.56,3.82,2.55,0,168.58,0,0,0
토마토쥬스,1인분,10.3,1.8,0.1,8,654,0,0,0
토마토치즈버거,1인분,,15,,8,0.764,,7,
토스트,1인분,13,2.1,0.9,1.1,142,0,0.1,0
토피넛 크런치 라떼,1인분,,9,,29,0.23,,9,
톳나물,1인분,7.1,1.4,0.3,,305.8,0,0,0
통닭,1인분,0.3,11.4,6.3,,207.8,45,0,0
투움바파스타,1인분,33,18,48,,,,,
티라미수,1인분,42.4,8.3,31.6,29.2,148,291,0,0
티본 스테이크,1인분,0,19.3,14.3,0,54,55,5.5,
파김치,1인분,7.1,2,0.4,,525.6,0,0,0
파니니,1인분,57.2,20.3,15.8,1.2,1095,44,7.6,0
파래무침,1인분,4.5,2,0.4,0,854.2,0,0,0
파무침,1인분,5.5,1.3,1.3,1.3,578,0,0.1,0
파워 에이드,1인분,4,0,0,4,53,0,0,0
파인애플,1인분,6.3,0.4,0.1,,5,0,0,0
파인애플쥬스,1인분,32.1,0.9,0.3,24.9,5,0,0,0
파전,1인분,26.8,10.3,7,0,443.7,65.9,1.1,0
파프리카,1인분,3.4,0.6,0.1,1.7,2,0,0,
팔보채,1인분,9.5,17.6,7.4,0,883.4,160.6,0.7,0
팥빵,1인분,42,6,4.8,0,134.4,3.2,0,0
팥죽,1인분,66.5,16.2,0,0,337.5,0,0.2,0
팬케익,1인분,10.7,2.4,3.6,0,167,22,0.8,0
팽이버섯야채볶음,1인분,10.85,2.55,4.37,0,14.1,0,0,0
페이스트리빵,1인분,32.52,5.99,18.4,5.75,295.79,16.95,12.07,0.59
페퍼로니피자,1인분,56,34,20,16,520,10,9,0
페퍼민트티,1인분,1,,,,15,,,
펜네 파스타 샐러드,1인분,34.18,7.39,4.84,0,71.98,0,0,0
평양냉면,1인분,120,11,9,15,1.75,0,2.5,
포도,1인분,14.1,0.4,0.8,0,0,0,0,0.002
포도 쥬스,1인분,37.8,1.4,0.2,37.6,8,0,0,0
포테이토칩,1인분,15.8,1.6,11.1,0,77.7,0,3.8,0
포테이토피자,1인분,29.5,4,4.1,0.2,227,0,0.5,0
표고버섯볶음,1인분,15.84,4.53,6.72,2.64,574.8,0,0.83,0.03
프렌치 토스트,1인분,20,5.5,6.1,4.8,320,90,1.5,0
프링글스,1인분,15,1,8,,95,,3.5,
플레인 요거트,1인분,12.5,3,2.4,10.5,50,10,2,0
피망,1인분,6.9,1.2,0.2,3.5,4,0,0,0
피스타치오,1인분,0.2,0.1,0.3,0,0,0,0,0
피자빵,1인분,20.3,8.2,9.5,1.3,481,16,3.7,0
피칸 파이,1인분,63.6,5.9,27,0,320,106,4.8,0
피클,1인분,2.6,0.4,0.1,2.2,833,0,0,0
핑거휠레,1인분,,90,,0,894,,9,
하와이안피자,1인분,,14,,8,760,,4,
하이트,1인분,,,,,,,,
한라봉,1인분,30,1.8,0.7,23.8,7,0,0,0
한방오리백숙,1인분,3.36,68.79,20.1,0.35,276.43,372.07,6.39,0.14
한우불고기세트,1인분,,25,,43,1436,,15,
한치초밥,1인분,77.92,13.71,0.85,13.13,1199.31,100.06,0.45,0
함박스테이크,1인분,42.55,36.76,26.42,17.44,1143,141,10.142,1.432
핫 윙,1인분,2,3,3,,,,1,
핫 케잌,1인분,12.7,3.2,2.4,1.3,216,25,0.7,0
핫도그,1인분,18,10.3,14.5,0,670,44,5.1,0
핫바,1인분,8,10.2,12.2,0.3,235,38,1,0
핫초코,1인분,17,1,1.1,11,45,0,1,0
항정살,1인분,0,40,13.4,0,932,113,4.5,0
해물덮밥,1인분,70.6,20,1.2,,303.1,150.7,0,0
해물된장국,1인분,7.1,15.5,2.2,,916.5,125.3,0,0
해물뚝배기,1인분,9.1,26.9,3,1.1,493,199,0.6,0
해물리조또,1인분,63,12,2.5,5,1090,35,0.5,0
해물볶음밥,1인분,90.46,25.1,27,1.22,1074.35,241.8,5.38,0.15
해물볶음우동,1인분,,,,,,,,
해물잡탕,1인분,9.4,13.6,1.9,,730.9,93.6,0,0
해물칼국수,1인분,46.3,14.1,6.2,2.2,400,32,1.1,0
해물크림소스스파게티,1인분,86.97,30.4,49.79,8.35,1323.69,210.88,24.73,0.94
해물탕,1인분,7.9,18,2,0,704,129.5,0.1,0
해물토마토소스스파게티,1인분,87.25,27.98,13.73,13.48,1533.16,159.63,3.14,0.07
해물파전,1인분,20,16.8,7.4,0,506.6,187.6,1.2,0
해바라기씨,1인분,18.76,22.78,49.57,2.62,3,0,5.195,32.735
해산물 샤브샤브,1인분,5.83,12.15,6.26,0,143.29,0,0,0
해산물볶음,1인분,6.31,10.3,6.13,0,292.49,0,0,0
햄김치찌개,1인분,11.1,7.4,8.5,,1218.1,24.8,1.9,0
햄버거,1인분,26.8,14.6,10.9,3.3,369,34,3.9,
햄버그스테이크,1인분,7,9,9,2,200,25,2.8,0
햄부침,1인분,14.2,10.5,8.4,0,462.7,111,1.3,0
햄치즈샌드위치,1인분,33.3,20.6,15.4,0,771,58,6.4,0
햇반,1인분,68,6,1.5,,,,0.5,
행운버거골드,1인분,,23,,13,1.05,,12,
행운버거칠리,1인분,,26,,13,1.272,,7,
허니버터칩,1인분,30,2,24,2,290,0,8,0
헤이즐넛,1인분,18.7,14.9,60.7,4.3,0,0,4.4,0
헤이즐넛라떼,1인분,46,,,,250,,9,
현미밥,1인분,69.4,6.8,1.8,0,71.1,0,0,0
호두,1인분,0.5,0.6,2.6,0.1,0,0,0.2,0
호두과자,1인분,37,5,3,,4,,,
호두브레드,1인분,32,6,6,4,310,5,2,0
호떡,1인분,63.7,6,7.7,25.8,89,1,0.8,0
호밀호두빵,1인분,37,5,3,,4,,,
호박 볶음,1인분,5.2,1.2,7.6,1.2,374,0,1,0
호박된장찌개,1인분,15.8,9.6,2.9,,785.4,29.6,0.2,0
호박새우젓국,1인분,4.5,3.1,0.7,,1059.8,13.9,0,0
호박전,1인분,7,4.3,7.1,0,368.1,95,0,0
호박죽,1인분,70.2,9.3,0.7,,345.8,0,0,0
호박찌개,1인분,16.8,8.3,3.7,3.5,385,4,0.6,0
홍어적,1인분,0,23.6,0.7,0.3,323.53,96.77,0.1,0
홍어찜,1인분,6.8,16.6,2.5,0,881.6,61.6,0.1,0
홍어회무침,1인분,9.8,11.4,0.6,0,507.1,44,0,0
홍차라떼,1인분,11,1,1.4,9,48,0,1.4,0
홍합무국,1인분,3.6,4.4,2.5,,587.9,19.6,0.2,0
홍합미역국,1인분,4.2,5.2,2.6,,949.9,19.6,0.2,0
홍합산적,1인분,10.56,17.76,4.8,3.36,719.72,60.71,0.8,0.08
홍합우거지국,1인분,6.3,4.5,0.9,,677.9,9.8,0,0
홍합짬뽕,1인분,135,23.2,12.7,3.2,1799,50,1.5,0
홍합탕,1인분,11.9,22.8,7.5,1.9,981,51,1,0
화양적,1인분,16,13.7,11.7,0,709.6,147,1.8,0
화이트 와인,1인분,3.82,0.1,0,1.41,7,0,0,0
화이트 초콜릿 모카,1인분,47,12,18,45,190,,0,
화이트 초콜릿 프라푸치노,1인분,,5,,43,0.21,,7,
화이트모카,1인분,19,3,4,17,100,15,2.5,
화지타,1인분,26.08,8.62,6.48,0,508.99,0,0,0
황도통조림,1인분,28.9,1.5,0,25.6,10,0,0,0
황태강정,1인분,22.47,18.67,6.46,0,159.7,0,0,0
황태국밥,1인분,54,8,2.3,1,810,15,1,0
황태해장국,1인분,12,18.3,4.1,3.2,801,151,1,0
회,1인분,0,33.3,5.4,0,66,66,1.1,
회냉면,1인분,86.4,23.8,6.2,0,1896.7,162.8,1,0
회덮밥,1인분,53.3,40.4,10.1,7.9,1160,92,1.9,0
후라이드 치킨,1인분,2.2,14.6,17.9,0,,,,
훈제오리,1인분,0,29.6,37.1,0,381,127,12.7,0
흑미밥,1인분,70.9,6.49,1.6,0,5,0,0.336,0.55
흑임자 두부 죽,1인분,23.55,7.04,4.77,0,2.14,0,0,0
흰죽,1인분,43.6,9,0.7,0.3,295,0,0.1,0
LA 갈비,1인분,4.2,45,52.3,0.8,919,162,22,
